area_type,location,size,total_sqft,price,category,availability
Super built-up Area,Kodanda Reddy Layout,3 BHK,1660,10500000,Rural,Ready To Move
Built-up Area,Hennur Road,4 Bedroom,2957 - 3450,22450000,Urban,18-Oct
Super built-up Area,Yelahanka,2 BHK,1326,7800000,Urban,19-Mar
Super built-up Area,Garudachar Palya,3 BHK,1325,6080000,Rural,Ready To Move
Super built-up Area,EPIP Zone,3 BHK,1499,10200000,Rural,Ready To Move
Built-up Area,Hegde Nagar,6 Bedroom,3000,21000000,Rural,Ready To Move
Super built-up Area,Kanakpura Road,3 BHK,1665,8800000,Urban,Ready To Move
Super built-up Area,Dasanapura,2 BHK,708,3700000,Rural,17-Sep
Super built-up Area,Kasavanhalli,2 BHK,1060,5806000,Rural,Ready To Move
Plot  Area,Rajaji Nagar,6 Bedroom,710,16000000,Urban,Ready To Move
Built-up Area,Sanjay nagar,2 BHK,1000,7000000,Rural,Ready To Move
Super built-up Area,Electronic City,2 BHK,1000,2888000,Urban,18-Dec
Super built-up Area, Mysore Highway,3 BHK,1450,7000000,Rural,Ready To Move
Plot  Area,ISRO Layout,4 Bedroom,1200,15500000,Rural,Ready To Move
Super built-up Area,Thanisandra,2 BHK,1296,8000000,Rural,17-Aug
Super built-up Area,Domlur,3 BHK,1540,9000000,Urban,Ready To Move
Plot  Area,Kengeri,4 Bedroom,2894,24500000,Urban,Ready To Move
Super built-up Area,Sarjapura - Attibele Road,3 BHK,1330,4800000,Urban,Ready To Move
Built-up Area,Devasthanagalu,2 BHK,1200,6500000,Rural,Ready To Move
Built-up Area,T Dasarahalli,3 Bedroom,1200,9000000,Rural,Ready To Move
Super built-up Area,Yeshwanthpur,3 BHK,2502,13800000,Rural,Ready To Move
Built-up Area,Chandapura,2 BHK,650,1700000,Rural,Ready To Move
Plot  Area,Kothanur,3 Bedroom,2400,15000000,Rural,Ready To Move
Super built-up Area,Green View Layout,2 BHK,1007,4300000,Rural,Ready To Move
Super built-up Area,Shantiniketan Layout,2 BHK,1200,5000000,Rural,Ready To Move
Super built-up Area,Peenya,2 BHK,966,4990000,Urban,Ready To Move
Built-up Area,Nagarbhavi,3 BHK,1630,9800000,Rural,Ready To Move
Built-up Area,Rajaji Nagar,3 BHK,1640,22900000,Urban,Ready To Move
Built-up Area,Jalahalli West,2 BHK,782,5568000,Rural,Ready To Move
Super built-up Area,Devanahalli,2 BHK,1260,6678000,Rural,19-Apr
Super built-up Area,Lakshmiamma Garden,3 BHK,1800,12000000,Rural,Ready To Move
Super built-up Area,Byatarayanapura,3 BHK,1413,7500000,Rural,Ready To Move
Super built-up Area,Whitefield,2 BHK,1116,5191000,Urban,Ready To Move
Super built-up Area,Electronic City,3 BHK,1530,4590000,Urban,Ready To Move
Built-up Area,Ramamurthy Nagar,4 Bedroom,3700,22500000,Rural,Ready To Move
Built-up Area,Sarjapur  Road,3 Bedroom,2497,14000000,Urban,Ready To Move
Super built-up Area,Kengeri,3 BHK,1540,6400000,Urban,Ready To Move
Super built-up Area,Thanisandra,3 BHK,1436,7475000,Rural,18-Dec
Super built-up Area,Malleshwaram,2 BHK,1100,7500000,Urban,18-Jun
Plot  Area,Hennur Road,2 Bedroom,276,2300000,Urban,Ready To Move
Super built-up Area,Thanisandra,3 BHK,1427,12000000,Rural,Ready To Move
Super built-up Area,Akshaya Nagar,3 BHK,2061,20000000,Rural,Ready To Move
Super built-up Area,Hebbal,4 BHK,3067 - 8156,47700000,Urban,18-Mar
Built-up Area,Shampura,4 BHK,2650,15000000,Rural,Ready To Move
Super built-up Area,Devanahalli,3 BHK,1282,6852000,Rural,22-Dec
Built-up Area,Kadugodi,2 BHK,1050,3400000,Rural,Ready To Move
Built-up Area,LB Shastri Nagar,3 BHK,1600,6500000,Rural,Ready To Move
Super built-up Area,Vajarahalli,2 BHK,945,5400000,Urban,22-Jan
Super built-up Area,Hormavu,2 BHK,1500,7800000,Rural,Ready To Move
Plot  Area,Vishwapriya Layout,7 Bedroom,950,11500000,Rural,Ready To Move
Built-up Area,Peenya,3 BHK,1870,11000000,Urban,Ready To Move
Plot  Area,Sarjapur,3 Bedroom,1600,7500000,Urban,Ready To Move
Super built-up Area,Electronic City,2 BHK,880,1650000,Urban,Ready To Move
Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,21000000,Rural,Ready To Move
Super built-up Area,Kudlu Gate,3 BHK,1535,8300000,Rural,Ready To Move
Built-up Area,Kanakpura Road,2 BHK,950,5700000,Urban,Ready To Move
Super built-up Area,Devanahalli,2 BHK,1360,6500000,Rural,18-Aug
Super built-up Area,Kengeri Satellite Town,2 BHK,890,3500000,Urban,19-Mar
Super built-up Area,Bommasandra Industrial Area,3 BHK,1280,5040000,Urban,18-May
Super built-up Area,Chandra Layout,3 BHK,1260,8505000,Rural,19-Jan
Built-up Area,Hennur Road,8 Bedroom,5000,25000000,Urban,Ready To Move
Super built-up Area,Yelahanka,5 BHK,3050,21300000,Urban,19-Dec
Super built-up Area,Kasavanhalli,3 BHK,1563.05,10500000,Rural,Ready To Move
Super built-up Area,ISRO Layout,2 BHK,1000,6000000,Rural,Ready To Move
Super built-up Area,Anandapura,2 BHK,1167,4376000,Rural,17-Jul
Super built-up Area,Vishveshwarya Layout,7 BHK,4000,22500000,Rural,Ready To Move
Super built-up Area,Kothanur,3 BHK,1828,11000000,Rural,Ready To Move
Super Built-up Area,Kengeri Satellite Town,2 BHK,890,3500000,Urban,Ready To Move
Plot  Area,Basavanapura,3 BHK,1612,4674000,Urban,Ready To Move
Super Built-up Area,Dinnur,6 Bedroom,1034,18500000,Rural,Ready To Move
Super Built-up Area,Mysore Road,3 BHK,1710,9131000,Rural,19-Apr
Super Built-up Area,Kannamangala,2 BHK,957,5800000,Rural,Ready To Move
Super Built-up Area, Devarachikkanahalli,3 BHK,1250,4400000,Rural,18-May
Super Built-up Area,Sanjeevini Nagar,3 BHK,2795,23500000,Rural,Ready To Move
Super Built-up Area,Hulimavu,2 BHK,1125,5000000,Rural,Ready To Move
Super Built-up Area,Electronic City Phase II,2 BHK,1020,3060000,Urban,18-Jul
Super Built-up Area,Kalena Agrahara,2 BHK,1200,5000000,Rural,Ready To Move
Super Built-up Area,Thanisandra,3 BHK,1735,13500000,Rural,Ready To Move
Plot  Area,Thanisandra,3 BHK,2050,14500000,Rural,Ready To Move
Built-up Area,Mahalakshmi Layout,4 Bedroom,3750,76000000,Rural,Ready To Move
Super Built-up Area,Yarandahalli,3 BHK,1350,4800000,Rural,Ready To Move
Super Built-up Area,Hosa Road,2 BHK,1063,3200000,Rural,18-May
Built-up Area,Keshava Nagar,3 BHK,1904,15000000,Rural,Ready To Move
Super Built-up Area,Whitefield,4 Bedroom,4200,42000000,Urban,Ready To Move
Super Built-up Area,RMV Extension,3 BHK,2000,17500000,Rural,Ready To Move
Super Built-up Area,Sarjapur,2 BHK,1145 - 1340,4349000,Urban,18-Dec
Super Built-up Area,Tejaswini Nagar,3 BHK,1425,7500000,Rural,Ready To Move
Built-up Area,Electronic City,3 BHK,1500,6450000,Urban,Ready To Move
Built-up Area,Electronic City,2 BHK,1060,6000000,Urban,Ready To Move
Super Built-up Area,Jai Bheema Nagar,3 BHK,1470,7000000,Rural,Ready To Move
Super Built-up Area,Kothnur Narayanapura,6 BHK,1300,9900000,Rural,Ready To Move
Super Built-up Area,Attibele,1 BHK,450,1100000,Urban,Ready To Move
Super Built-up Area,Electronic City,2 BHK,1152,6450000,Urban,18-Apr
Super Built-up Area,Electronic City,3 BHK,1350,5600000,Urban,Ready To Move
Plot  Area,CV Raman Nagar,3 BHK,1550,6500000,Urban,Ready To Move
Plot  Area,CHIKKATIRUPATHI,3 Bedroom,1500,10000000,Rural,Ready To Move
Plot  Area,Kumaraswami Layout,5 Bedroom,600,8500000,Rural,Ready To Move
Super Built-up Area,Nagavara,1 Bedroom,400,1400000,Urban,Ready To Move
Built-up Area,Malleshwaram,1 BHK,705,6700000,Urban,Ready To Move
Super Built-up Area,Electronic City,2 BHK,770,3600000,Urban,Ready To Move
Super Built-up Area,Hulimavu,2 BHK,1242,5100000,Rural,Ready To Move
Super Built-up Area,Hebbal Kempapura,3 BHK,1700,15500000,Urban,Ready To Move
Super Built-up Area,Thanisandra,3 BHK,2144,14500000,Rural,Ready To Move
Super Built-up Area,Vijayanagar,3 BHK,1704,11000000,Urban,21-Jun
Plot  Area,Electronic City,2 BHK,1070,5200000,Urban,Ready To Move
Super Built-up Area,8th block Koramangala,3 Bedroom,1846,30000000,Urban,Ready To Move
Built-up Area,Jakkuru Layout,2 BHK,1340,5570000,Rural,Ready To Move
Super Built-up Area,Electronic City,2 BHK,1025,4600000,Urban,Ready To Move
Super Built-up Area,KR Puram,2 BHK,1015 - 1540,5680000,Urban,Ready To Move
Built-up Area,Marathahalli,2 BHK,1200,5200000,Urban,Ready To Move
Super Built-up Area,Kanakpura Road,4 Bedroom,2250,11000000,Urban,18-Dec
Plot  Area,Pattandur Agrahara,3 BHK,1550,8000000,Rural,Ready To Move
Plot  Area,Bellandur,4 Bedroom,1200,32500000,Urban,Ready To Move
Super Built-up Area,Ejipura,7 Bedroom,1800,25000000,Rural,Ready To Move
Super Built-up Area,Marathahalli,2 BHK,1200,6000000,Urban,Ready To Move
Super Built-up Area,Yelahanka,2 BHK,1327,9800000,Urban,Ready To Move
Built-up Area,Kothanur,2 BHK,1186,5800000,Rural,Ready To Move
Super Built-up Area,MS Pallya,3 Bedroom,1783,11500000,Rural,Ready To Move
Super Built-up Area,HSR Layout,3 BHK,1400,5600000,Urban,Ready To Move
Super Built-up Area,Nagasandra,2 BHK,980,4800000,Urban,Ready To Move
Super Built-up Area,EPIP Zone,2 BHK,1285,8200000,Rural,Ready To Move
Built-up Area,Langford Town,3 BHK,912,7000000,Rural,Ready To Move
Super Built-up Area,Whitefield,2 BHK,1225,4760000,Urban,Ready To Move
Built-up Area,Whitefield,2 BHK,1075,5300000,Urban,Ready To Move
Super Built-up Area,Kadugodi,3 BHK,1260,5400000,Rural,Ready To Move
Super Built-up Area,Yelahanka,3 BHK,1282,4870000,Urban,Ready To Move
Super Built-up Area,Kogilu,3 BHK,1909,8800000,Rural,Ready To Move
Built-up Area,Panathur,2 BHK,1359,8700000,Rural,Ready To Move
Plot  Area,Nagondanahalli,2 BHK,1207,4350000,Rural,Ready To Move
Super Built-up Area,Padmanabhanagar,4 Bedroom,1736,19000000,Urban,Ready To Move
Super Built-up Area,1st Block Jayanagar,4 BHK,2850,42800000,Urban,20-May
Built-up Area,Kammasandra,3 BHK,1595,6500000,Rural,Ready To Move
Super Built-up Area,"Off Sarjapur Road, ",3 BHK,1798,8900000,Urban,18-Jun
Super Built-up Area,Electronics City Phase 1,3 BHK,1475,7829000,Rural,Ready To Move
Super Built-up Area,Tala Cauvery Layout,3 BHK,1580,10000000,Rural,Ready To Move
Built-up Area,Dasarahalli,2 BHK,1295,6500000,Rural,Ready To Move
Super Built-up Area,Magadi Road,6 Bedroom,3600,14100000,Rural,Ready To Move
Super Built-up Area,Electronic City,1 BHK,589,2700000,Urban,Ready To Move
Super Built-up Area,Ngef Layout,3 BHK,1415,7800000,Rural,Ready To Move
Super Built-up Area,Sarjapur  Road,3 BHK,1787,9829000,Urban,18-Dec
Super Built-up Area,Sarjapur  Road,3 BHK,1787,12500000,Urban,Ready To Move
Built-up Area,Koramangala,3 BHK,1475,9000000,Urban,Ready To Move
Super Built-up Area,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,7550000,Urban,Ready To Move
Super Built-up Area,Sarjapur  Road,2 BHK,984,4428000,Urban,19-Mar
Super Built-up Area,Devanahalli,3 BHK,1520 - 1740,7482000,Rural,19-Dec
Built-up Area,Muthurayya Swamy Layout,3 BHK,2405,26000000,Rural,Ready To Move
Plot  Area,7th Phase JP Nagar,2 BHK,1080,7200000,Urban,Ready To Move
Super Built-up Area,Shantiniketan Layout,2 Bedroom,1500,11500000,Rural,Ready To Move
Super Built-up Area,Hebbal,3 BHK,1900,11900000,Urban,Ready To Move
Super Built-up Area,Dommasandra,2 BHK,805,2214000,Urban,19-Aug
Super Built-up Area,Budigere,2 BHK,1153,5640000,Rural,Ready To Move
Super Built-up Area,Dodda Nekkundi Extension,2 BHK,1148,6000000,Rural,Ready To Move
Built-up Area,Mylasandra,2 BHK,1110,5500000,Rural,Ready To Move
Super Built-up Area,Electronic City,2 BHK,1100,4200000,Urban,Ready To Move
Super Built-up Area,Kalyan nagar,2 BHK,1290,11000000,Rural,Ready To Move
Super Built-up Area,Dr Shivarama Karantha Nagar,3 BHK,1500,6500000,Rural,Ready To Move
Super Built-up Area,Bank Of Baroda Colony,2 BHK,1080,3900000,Rural,18-Apr
Built-up Area,Vijayanagar,3 BHK,1933,12900000,Urban,21-Jun
Built-up Area,Ramamurthy Nagar,5 Bedroom,3500,15000000,Urban,Ready To Move
Super Built-up Area,Kullappa Colony,2 BHK,1060,6000000,Rural,Ready To Move
Plot  Area,Chandapura,1 BHK,645,1645000,Rural,18-Aug
Super Built-up Area,Mukkutam Nagar,8 Bedroom,2600,18000000,Rural,Ready To Move
Super Built-up Area,Chandapura,1 BHK,645,1645000,Rural,18-Sep
Super Built-up Area,Ashwath Nagar,3 BHK,1644,8400000,Rural,Ready To Move
Plot  Area,Ncpr Industrial Layout,2 BHK,1285,7250000,Rural,Ready To Move
Super Built-up Area,Electronic City,3 Bedroom,1200,9000000,Urban,Ready To Move
Super Built-up Area,Electronic City,2 BHK,910,4000000,Urban,Ready To Move
Plot  Area,Kothanur,3 BHK,1577,7000000,Rural,Ready To Move
Super Built-up Area,Meenakunte,3 Bedroom,4050,28000000,Rural,17-May
Super Built-up Area,OMBR Layout,3 BHK,2420,18500000,Rural,Ready To Move
Built-up Area,Chandapura,2 BHK,800,2000000,Rural,Ready To Move
Super Built-up Area,Anand Nagar,2 BHK,1060,5500000,Rural,Ready To Move
Super Built-up Area,7th Phase JP Nagar,2 BHK,1270,9300000,Urban,Ready To Move
Built-up Area,Shree Ananth Nagar Layout,2 BHK,900,2250000,Rural,18-Jun
Plot  Area,Kundalahalli Colony,2 Bedroom,1280,6900000,Rural,Ready To Move
Built-up Area,Horamavu Agara,4 Bedroom,1200,9500000,Rural,Ready To Move
Super Built-up Area,Sarjapur  Road,2 BHK,1025,3600000,Urban,Ready To Move
Plot  Area,Electronic City,2 BHK,1108,6300000,Urban,17-Jun
Super Built-up Area,MCECHS  layout,5 Bedroom,1200,17000000,Rural,Ready To Move
Plot  Area,Coffee Board Layout,3 BHK,3045,17000000,Rural,Ready To Move
Super Built-up Area,Ambedkar Nagar,4 Bedroom,2900,30000000,Rural,Ready To Move
Super Built-up Area,Vijayanagar,3 BHK,1500,7550000,Urban,Ready To Move
Super Built-up Area,Raja Rajeshwari Nagar,2 BHK,1295,4390000,Urban,Ready To Move
Super Built-up Area,Budigere,2 BHK,1162,5990000,Rural,Ready To Move
Built-up Area,Sarjapur  Road,2 BHK,1035,4920000,Urban,Ready To Move
Super Built-up Area,Attibele,4 Bedroom,1600,5280000,Urban,Ready To Move
Super Built-up Area,KUDLU MAIN ROAD,3 BHK,1464,4600000,Urban,Ready To Move
Super Built-up Area,Hennur Road,3 BHK,1866,6158000,Rural,18-Oct
Super Built-up Area,Geleyara Balaga Layout,2 BHK,700,2600000,Rural,Ready To Move
Super Built-up Area,Kalena Agrahara,3 BHK,1804,12000000,Rural,Ready To Move
Super Built-up Area,Sarjapur,2 BHK,913,3200000,Urban,Ready To Move
Built-up Area,Talaghattapura,3 BHK,1868,13100000,Rural,21-Dec
Plot  Area,Kengeri Satellite Town,2 BHK,883,4500000,Urban,Ready To Move
Super Built-up Area,Sundara Nagar,2 Bedroom,900,11000000,Rural,Ready To Move
Super Built-up Area,Kogilu,3 BHK,1664,7395000,Rural,Ready To Move
Super Built-up Area,Hegde Nagar,3 BHK,2026,13200000,Rural,Ready To Move
Plot  Area,Balagere,2 BHK,1210,8090000,Rural,Ready To Move
Super Built-up Area,Meenakunte,4 Bedroom,4111,25000000,Rural,Ready To Move
Super Built-up Area,Kadugodi,3 BHK,1762,9145000,Rural,Ready To Move
Built-up Area,Jigani,3 BHK,1252,5500000,Rural,Ready To Move
Built-up Area,Gollarapalya Hosahalli,2 BHK,861,3450000,Rural,Ready To Move
Plot  Area,7th Phase JP Nagar,3 BHK,1420,10000000,Urban,Ready To Move
Built-up Area,Srirampura,6 Bedroom,1450,25000000,Rural,Ready To Move
Super Built-up Area,Electronics City Phase 1,3 BHK,1490,7880000,Rural,Ready To Move
Super Built-up Area,Bisuvanahalli,3 BHK,1075,4600000,Rural,Ready To Move
Built-up Area,Old Madras Road,3 BHK,1425,9400000,Rural,18-Aug
Super Built-up Area,Kalena Agrahara,2 BHK,1200,4000000,Rural,Ready To Move
Super Built-up Area,Kaggadasapura,3 BHK,1280,5600000,Urban,Ready To Move
Super Built-up Area,Silver Springs Layout,2 BHK,1084,5000000,Rural,Ready To Move
Super Built-up Area,Chandapura,2 BHK,1015,2588000,Rural,18-Jul
Super Built-up Area,Kanakpura Road,2 BHK,1017,5125000,Urban,21-May
Super Built-up Area,Haralur Road,2 BHK,1027,4400000,Rural,Ready To Move
Super Built-up Area,Electronic City Phase II,2 BHK,1069,4500000,Urban,Ready To Move
Super Built-up Area,Hebbal,2 BHK,1349,9820000,Urban,Ready To Move
Super Built-up Area,9th Phase JP Nagar,2 BHK,1005,5000000,Urban,Ready To Move
Plot  Area,Jakkur,2 BHK,1417,7500000,Rural,Ready To Move
Carpet  Area,TC Palaya,3 Bedroom,1475,9800000,Rural,18-Jan
Super Built-up Area,Maruthi Sevanagar,2 BHK,950,4700000,Rural,Ready To Move
Plot  Area,RMV 2nd Stage,4 BHK,2000,12000000,Rural,Ready To Move
,Giri Nagar,3 Bedroom,880,14000000,Rural,Ready To Move
Plot  Area,Giri Nagar,3 Bedroom,880,14000000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,4 BHK,1863,10400000,Urban,Ready To Move
Super built-up  Area,Singasandra,2 BHK,1010,2950000,Urban,Ready To Move
Super built-up  Area,Kalena Agrahara,3 BHK,1425,7000000,Urban,Ready To Move
Super built-up  Area,Vijayanagar,3 BHK,1450,10000000,Urban,Ready To Move
Super built-up  Area,Kothanur,3 BHK,1847,10500000,Urban,Ready To Move
Super built-up  Area,AECS Layout,2 BHK,1100,4500000,Urban,20-Dec
Super built-up  Area,Kanakpura Road,1 BHK,525,2600000,Urban,Ready To Move
Super built-up  Area,Mallasandra,3 BHK,1665,9500000,Urban,Ready To Move
Super built-up  Area,Begur,4 BHK,1664,6500000,Urban,Ready To Move
Super built-up  Area,JP Nagar,3 BHK,1850,15000000,Urban,Ready To Move
Super built-up  Area,Panathur,2 BHK,1438,10000000,Urban,Ready To Move
Super built-up  Area,Sunder Ram Shetty Nagar,3 BHK,1560,11500000,Urban,18-Apr
Super built-up  Area,Yelahanka,2 BHK,1350,5555000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,3 BHK,1550,6700000,Urban,18-Apr
Super built-up  Area,Malleshpalya,2 BHK,1140,4650000,Urban,Ready To Move
Plot  Area,Srirampura,5 Bedroom,1200,18000000,Urban,18-Dec
Super built-up  Area,Kodathi,2 BHK,850,2700000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1280,7500000,Urban,Ready To Move
Built-up  Area,Munnekollal,2 BHK,1170,5200000,Urban,Ready To Move
Super built-up  Area,Motappa Layout,2 BHK,1113,5100000,Urban,Ready To Move
Super built-up  Area,Hennur Road,2 BHK,1385,8309000,Urban,18-Apr
Super built-up  Area,Electronic City,2 BHK,1128,6500000,Urban,Ready To Move
Plot  Area,Marathahalli,2 Bedroom,1200,12800000,Urban,Ready To Move
Plot  Area,Akshaya Vana,4 Bedroom,1200,16500000,Urban,Ready To Move
Super built-up  Area,Rajaji Nagar,3 BHK,2390,41500000,Urban,Ready To Move
Plot  Area,Giri Nagar,4 Bedroom,2400,40000000,Urban,Ready To Move
Super built-up  Area,Haralur Road,3 BHK,1464,5600000,Urban,Ready To Move
Super built-up  Area,Manayata Tech Park,2 BHK,1200,5500000,Urban,Ready To Move
Super built-up  Area,Kaval Byrasandra,2 BHK,1200,5200000,Urban,Ready To Move
Super built-up  Area,Kaggalipura,3 BHK,1150,5500000,Urban,Ready To Move
Built-up  Area,Basavanna Nagar,3 BHK,1645,9500000,Urban,20-Mar
Super built-up  Area,Sarjapur  Road,2 BHK,1000,6700000,Urban,Ready To Move
Plot  Area,Haralur Road,4 Bedroom,2650,19800000,Urban,Ready To Move
Super built-up  Area,6th Phase JP Nagar,2 BHK,1192,7400000,Urban,Ready To Move
Super built-up  Area,Ulsoor,3 BHK,2135,21500000,Urban,19-Dec
Super built-up  Area,Whitefield,2 BHK,1173,5800000,Urban,Ready To Move
Built-up  Area,Uttarahalli,2 BHK,1020,4500000,Urban,Ready To Move
Super built-up  Area,Thigalarapalya,4 BHK,3122,23000000,Urban,Ready To Move
Super built-up  Area,Somasundara Palya,3 BHK,1600,6400000,Urban,18-Mar
Plot  Area,T.C PALYA,2 Bedroom,1200,7900000,Urban,Ready To Move
Carpet  Area,Muneshwara Nagar,2 BHK,1230,4800000,Urban,Ready To Move
Super built-up  Area, Devarachikkanahalli,2 BHK,1250,4000000,Urban,Ready To Move
